time,sigmal , sigmap ,sigmai, rse
97.97826,0.1,0.01,10000,0.966121
99.921721,0.1,0.01,100000,0.968102
97.900572,0.1,0.1,0.00001,0.997712
99.494919,0.1,0.1,0.0001,0.997712
97.188378,0.1,0.1,0.001,0.997712
99.851778,0.1,0.1,0.01,0.997712
96.443995,0.1,0.1,0.1,0.997712
98.479004,0.1,0.1,0.5,0.997712
97.507188,0.1,0.1,10,0.997712
103.204636,0.1,0.1,100,0.997704
103.172673,0.1,0.1,1000,0.971118
102.970615,0.1,0.1,10000,0.968818
102.311196,0.1,0.1,100000,0.966467
95.804915,0.1,0.5,0.00001,0.997712
96.93869,0.1,0.5,0.0001,0.997712
99.304717,0.1,0.5,0.001,0.997712
96.643175,0.1,0.5,0.01,0.997712
100.085177,0.1,0.5,0.1,0.997712
97.512837,0.1,0.5,0.5,0.997712
95.20995,0.1,0.5,10,0.997712
106.916774,0.1,0.5,100,0.997701
104.696821,0.1,0.5,1000,0.972315
106.793765,0.1,0.5,10000,0.966966
106.216979,0.1,0.5,100000,0.964375
95.496731,0.1,10,0.00001,0.997712
96.240975,0.1,10,0.0001,0.997712
98.162905,0.1,10,0.001,0.997712
99.629874,0.1,10,0.01,0.997712
98.91025,0.1,10,0.1,0.997712
99.131464,0.1,10,0.5,0.997712
98.986413,0.1,10,10,0.997712
152.794957,0.1,10,100,0.997698
165.194903,0.1,10,1000,0.9059
157.195527,0.1,10,10000,0.866952
159.14742,0.1,10,100000,0.866733
98.403366,0.1,100,0.00001,0.997712
94.922479,0.1,100,0.0001,0.997712
98.016684,0.1,100,0.001,0.997712
97.386539,0.1,100,0.01,0.997712
98.642338,0.1,100,0.1,0.997712
96.935633,0.1,100,0.5,0.997712
96.871185,0.1,100,10,0.997712
158.107723,0.1,100,100,0.997698
183.105102,0.1,100,1000,0.755399
163.475028,0.1,100,10000,0.736519
159.326161,0.1,100,100000,0.625719
95.987157,0.1,1000,0.00001,0.997712
98.831303,0.1,1000,0.0001,0.997712
98.810494,0.1,1000,0.001,0.997712
95.898276,0.1,1000,0.01,0.997712
97.667465,0.1,1000,0.1,0.997712
97.737575,0.1,1000,0.5,0.997712
99.288295,0.1,1000,10,0.997712
156.971595,0.1,1000,100,0.997704
178.829753,0.1,1000,1000,0.725901
161.498508,0.1,1000,10000,0.66568
157.740048,0.1,1000,100000,0.755095
96.280475,0.1,10000,0.00001,0.997712
97.210466,0.1,10000,0.0001,0.997712
98.224628,0.1,10000,0.001,0.997712
96.565589,0.1,10000,0.01,0.997712
98.036903,0.1,10000,0.1,0.997712
98.32327,0.1,10000,0.5,0.997712
99.708793,0.1,10000,10,0.997712
157.080391,0.1,10000,100,0.99771
183.280937,0.1,10000,1000,0.693134
159.634774,0.1,10000,10000,0.748201
157.831638,0.1,10000,100000,0.730497
96.581212,0.1,100000,0.00001,0.997712
96.046661,0.1,100000,0.0001,0.997712
97.587318,0.1,100000,0.001,0.997712
97.53163,0.1,100000,0.01,0.997712
100.137493,0.1,100000,0.1,0.997712
96.709484,0.1,100000,0.5,0.997712
97.946216,0.1,100000,10,0.997712
153.912339,0.1,100000,100,0.997706
168.087717,0.1,100000,1000,0.643438
